一 ○ 四 年 度 公 路 平 均 每 日 交 通 量 調 查 統 計 表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
填報單位：交通部公路總局第五區養護工程處,,,,,,,,,,,,,,,,,,,,,,,,,,,    調查週期：定期按年辦理,,
縣,調      查      站,,,,路,起 迄 地 名,起 迄 樁 號,"地

形","里


程","路
面
寬
度","方


向",車道佈設,,,總        計,,各  車  種  車  輛  數  (輛/日),,,,,,,尖峰小時,,方,備,,
市,編,地,樁,座,線,,,,,,,"快車道
寛    度",機慢車道寛度,"路肩
寛度",流,車,合,小,大,大,"全
聯
結
車","半
聯
結
車",機,,,向,,,
, ,,,,編,,,,,,,,,,量,公,,型,客,貨,,,,交通量,時段,係,,,
別,號,點,號,標,號,,,,(公里),(公尺),(往),(公尺),(公尺),(公尺),(PCU),里,計,車,車,車,,,車,(PCU),,數,註,,
嘉義縣,V-201,無名橋,12k+300,E120.35246,145甲線,土庫~中庄,0K+000~13K+084,平原區,13.1,13.8,北,3.3,2.0,1.6,"2,531","36,510","2,787","1,927",12,79,0,15,754,537,7～8,0.51,,,
,,,,N23.57765,,,,,,,南,3.3,2.0,1.6,"2,630","38,304","2,924","1,945",16,91,1,13,858,,,,,,
,,,,,,合計,,,13.1 ,,,,,,"5,161","74,814",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,V-601,心慈橋,38k+700,E120.56548,149線,華山~梅山鄉公所,38K+700~40K+666,丘陵區,2.0,6.9,北,3.5,-,-,772,"6,901",852,626,1,12,0,0,213,207,14～15,0.51,,,
,,,,N23.58773,,,,,,,南,3.4,-,-,784,"7,096",876,656,1,6,0,0,213,,,,,,
,,,,,,合計,,,2.0 ,,,,,,"1,556","13,997",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,V-202,富強橋,15k+700,E120.36203,157線,雲林縣界~新港,8K+644~19K+248,平原區,10.6,14.0,北,3.5,2.0,1.5,"2,429","27,433","2,588","1,782",45,71,0,28,662,462,8～9,0.50,,,
,,,,N23.58360,,,,,,,南,3.5,2.0,1.5,"2,480","27,125","2,559","1,729",42,85,0,58,645,,,,,,
嘉義縣,V-203,新港鄉公所,19k+900,E120.34733,157線,新港~新港街內,19K+248~20K+085,平原區,0.8,18.2,北,4.1,-,5.0,"7,325","7,682","9,603","4,545",124,43,0,0,"4,891","1,399",8～9,0.55,,,
,,,,N23.55178,,,,,,,南,4.1,-,5.0,"8,489","9,241","11,551","4,895",123,54,0,0,"6,479",,,,,,
嘉義縣,V-204,安和路,24k+050,E120.32165,157線,新港街內~蒜頭,20K+085~29K+200,平原區,9.1,12.7,北,3.5,2.0,1.2,"1,971","18,409","2,023","1,454",7,81,0,40,441,418,17～18,0.51,,,
,,,,N23.52364,,,,,,,南,3.5,2.0,0.5,"1,906","17,454","1,918","1,390",7,74,3,49,395,,,,,,
嘉義縣,V-205,蒜頭大橋,29k+900,E120.28796,157線,蒜頭~朴子,29K+200~35K+693,平原區,6.5,7.8,北,3.5,-,0.4,"3,981","30,667","4,718","3,010",28,43,2,2,"1,633",813,7～8,0.51,,,
,,,,N23.48834,,,,,,,南,3.5,-,0.4,"4,161","32,208","4,955","3,071",26,66,0,4,"1,788",,,,,,
嘉義縣,V-206,臥龍橋,40k+050,E120.20399,157線,朴子~過溝,35K+693~45K+632,平原區,9.9,15.0,北,"3.5,3.5",-,0.5,"4,497","45,758","4,622","3,431",73,172,2,39,905,488,17～18,0.50,,,
,,,,N23.45082,,,,,,,南,"3.5,3.5",-,0.5,"4,479","45,847","4,631","3,502",71,129,3,42,884,,,,,,
,,,,,,合計,,,36.9 ,,,,,,"41,718","261,824",,,,,,,,,,,,,
